問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
2025年シーズン、角田裕毅の新しいマネージャーとして就任した元レーシングドライバーは誰か？,マリオ・宮川,ディエゴ・メンチャカ,佐藤琢磨,中野信治,1,F1,5
2025年シーズン開幕時、レッドブル・レーシングでマックス・フェルスタッペンのチームメイトを務めていたのは誰か？,セルジオ・ペレス,ダニエル・リカルド,角田裕毅,リアム・ローソン,3,F1,3
2025年第3戦日本GPより、レッドブル・レーシングのシートを失いレーシングブルズへ復帰（降格）したドライバーは誰か？,ダニエル・リカルド,リアム・ローソン,アイザック・ハジャー,セルジオ・ペレス,1,F1,2
2025年の中国GP後に「最低重量およびプランク規則違反」で失格となったドライバーに含まれないのは誰か？,ルイス・ハミルトン,ジョージ・ラッセル,シャルル・ルクレール,マックス・フェルスタッペン,3,F1,4
2025年から導入された「ドライバー冷却システム」を使用する際、最低重量に加算される重量は何kgか？,1kg,2kg,5kg,10kg,2,F1,4
2025年のモナコGPで導入された特別ルールの内容は何か？,スプリントレースの開催,予選方式の変更（1周アタック）,レース中の最低2回のピットストップ義務化,DRS使用ゾーンの拡大,2,F1,3
2025年シーズン、フェラーリのタイトルスポンサーに就任した企業はどこか？,Santander,HP Inc.,Shell,UPS,1,F1,2
2025年シーズン、ウィリアムズのタイトルスポンサーに就任した企業はどこか？,Gulf,Komatsu,Atlassian,Duracell,2,F1,4
2025年のラスベガスGP直前に、アウディの2026年リバリーコンセプトを最初に見学したドライバーの組み合わせは誰か？,ボッタスと周,ヒュルケンベルグとサインツ,ヒュルケンベルグとボルトレト,サインツとボルトレト,2,F1,3
2025年のラスベガスGP前、ランド・ノリスが観戦したNFLの試合の対戦カードは？,レイダース対チーフス,レイダース対カウボーイズ,49ers対ラムズ,ドルフィンズ対ジェッツ,1,F1,4
シャルル・ルクレールが立ち上げたライフスタイルブランドのプロモーションビデオに登場した愛犬の名前は？,ロスコ,レオ,ココ,シンバ,1,F1,2
シャルル・ルクレールと婚約者がユニバーサル・スタジオ・ハリウッドで着用していたコスチュームのキャラクターは？,マリオとルイージ,マリオとピーチ姫,マリオとヨッシー,ルイージとピーチ姫,2,F1,3
2025年、オスカー・ピアストリが受賞したオーストラリア・スポーツ殿堂の賞の名前は？,ザ・ブラッドマン賞,ザ・ドン賞,ザ・フリーマン賞,ザ・ソープ賞,1,F1,3
2025年のアゼルバイジャンGP前の休暇中、ピエール・ガスリーがパリで参加したスポーツイベントは何か？,テニスの全仏オープン,パデルのメジャー大会,サッカーのチャリティマッチ,柔道の国際大会,1,F1,4
2025年のアゼルバイジャンGP前の休暇中、角田裕毅がサン・シーロで観戦したサッカーチームはどこか？,インテル・ミラノ,ACミラン,ユヴェントス,ASローマ,1,F1,3
2025年のアゼルバイジャンGP前の休暇中、マックス・フェルスタッペンがニュルブルクリンクで取得したライセンス（許可証）は何か？,スーパーライセンス,許可証A（Permit A）,許可証B（Permit B）,GTライセンス,1,F1,4
角田裕毅がF1デビュー戦（2021年バーレーンGP）で記録した順位は何位か？,7位,9位,11位,リタイア,1,F1,3
角田裕毅が2018年にチャンピオンを獲得したカテゴリーは何か？,全日本F3選手権,FIA-F4日本選手権,スーパーフォーミュラ・ライツ,フォーミュラ・ルノー2.0,1,F1,3
角田裕毅がF1で初めてファステストラップを記録したのはどのグランプリか？,2021年アブダビGP,2022年日本GP,2023年アメリカGP,2024年オーストラリアGP,2,F1,4
2026年シーズンにおける角田裕毅の契約状況はどうなると発表されたか？,レッドブルのレギュラードライバー,レーシングブルズのレギュラードライバー,レッドブルのリザーブ兼テストドライバー,ホンダのアンバサダー,2,F1,3
2025年シーズン、ニコ・ヒュルケンベルグのチームメイトとしてザウバー（アウディ）に加入したドライバーは誰か？,バルテリ・ボッタス,ガブリエル・ボルトレト,ミック・シューマッハ,フェリペ・ドルゴヴィッチ,1,F1,3
2025年シーズン、メルセデスからフェラーリへ移籍したドライバーは誰か？,ジョージ・ラッセル,ルイス・ハミルトン,バルテリ・ボッタス,カルロス・サインツ,1,F1,1
2025年シーズン、ハミルトンの後任としてメルセデスからデビューしたドライバーは誰か？,ミック・シューマッハ,アンドレア・キミ・アントネッリ,フレデリック・ベスティ,エステバン・オコン,1,F1,2
2025年シーズン、カルロス・サインツが移籍したチームはどこか？,レッドブル,アストンマーティン,ウィリアムズ,ザウバー,2,F1,2
2025年シーズン、エステバン・オコンが移籍したチームはどこか？,ウィリアムズ,ハース,ザウバー,アルピーヌ（残留）,1,F1,3
2025年シーズン、ハースF1チームからフル参戦デビューを果たしたイギリス人ドライバーは誰か？,オリバー・ベアマン,ジャック・ドゥーハン,ザク・オサリバン,ルーク・ブラウニング,0,F1,3
2025年のレギュレーション変更で、ドライバーの最低体重許容量は80kgから何kgに変更されたか？,82kg,84kg,85kg,変更なし,0,F1,4
2025年から、ルーキードライバーのフリープラクティス（FP）起用義務は年間何回に増やされたか？,2回,3回,4回,6回,2,F1,3
2025年の日本GPで、角田裕毅はどのチームから出走したか？,レーシングブルズ,レッドブル・レーシング,アルファタウリ,ホンダ・レーシング,1,F1,2
2025年のドライバーズチャンピオンを獲得したのは誰か？,マックス・フェルスタッペン,シャルル・ルクレール,ランド・ノリス,オスカー・ピアストリ,2,F1,2
2025年のコンストラクターズチャンピオンを獲得したのはどのチームか？,レッドブル・レーシング,スクーデリア・フェラーリ,マクラーレン・メルセデス,メルセデスAMG,2,F1,2
2025年の第22戦ラスベガスGPで優勝したドライバーは誰か？,ランド・ノリス,マックス・フェルスタッペン,シャルル・ルクレール,ジョージ・ラッセル,1,F1,3
2025年シーズン、アルピーヌのジャック・ドゥーハンがシーズン途中で契約解除された後、後任として起用されたのは誰か？,ミック・シューマッハ,フランコ・コラピント,ビクター・マルタンス,クッシュ・マイニ,1,F1,4
2025年のイタリアGP（モンツァ）で優勝したのは誰か？,シャルル・ルクレール,アンドレア・キミ・アントネッリ,マックス・フェルスタッペン,ランド・ノリス,2,F1,3
2025年のオランダGPで優勝したのは誰か？,マックス・フェルスタッペン,ランド・ノリス,オスカー・ピアストリ,ジョージ・ラッセル,2,F1,3
2025年のイギリスGPで優勝したのは誰か？,ルイス・ハミルトン,ジョージ・ラッセル,ランド・ノリス,オスカー・ピアストリ,2,F1,3
2025年のオーストラリアGP（開幕戦）で優勝したのは誰か？,マックス・フェルスタッペン,ランド・ノリス,オスカー・ピアストリ,シャルル・ルクレール,1,F1,3
2025年のF1アカデミーについて正しい記述はどれか？,開催されていない,F1のサポートレースとして開催された,男性ドライバーも参加した,独立したイベントとして開催された,1,F1,2
